ST # ,ROAD,PC,WARD,PLAN,LOT,CONTRACTOR ,BLG TYPE ,MUNICIPALITY ,DESCRIPTION,D.U.,VALUE,FT2,PERMIT#,APPL. TYPE,ISSUED DATE
2948  ,BANK ST ,K1T1N8,Ward 10,4M-,9,CONTRACTOR UNKNOWN,Retail,Gloucester,Construct a 1 storey mixed use building (base building A),0.0,473157.45,6363.92,-,Construction,2022-01-20 13:52:55
1973  ,ORCHARDVIEW AVE ,K4A3B8,Ward 19,50M-201,223,AMOR CONSTRUCTION (176026 CANADA INC.),Demolition,Cumberland,Demolish a 2 storey detached dwelling (due to sinking),-1.0,48000.0,-2000.0,2111565,Demolition,2022-01-07 09:23:48
2060  ,SUNLAND DR ,K4A3K8,Ward 19,50M-209,,AMOR CONSTRUCTION (176026 CANADA INC.),Demolition,Cumberland,Demolish a block of 5 townhomes (due to sinking),-5.0,240000.0,-10000.0,2111567,Demolition,2022-01-07 00:00:00
2062  ,SUNLAND DR ,K4A3K8,Ward 19,50M-209,,AMOR CONSTRUCTION (176026 CANADA INC.),Demolition,Cumberland,Demolish a block of 5 townhomes (due to sinking),-5.0,240000.0,-10000.0,2111567,Demolition,2022-01-07 00:00:00
2064  ,SUNLAND DR ,K4A3K8,Ward 19,50M-209,,AMOR CONSTRUCTION (176026 CANADA INC.),Demolition,Cumberland,Demolish a block of 5 townhomes (due to sinking),-5.0,240000.0,-10000.0,2111567,Demolition,2022-01-07 00:00:00
2066  ,SUNLAND DR ,K4A3K8,Ward 19,50M-209,,AMOR CONSTRUCTION (176026 CANADA INC.),Demolition,Cumberland,Demolish a block of 5 townhomes (due to sinking),-5.0,240000.0,-10000.0,2111567,Demolition,2022-01-07 00:00:00
2068  ,SUNLAND DR ,K4A3K8,Ward 19,50M-209,,AMOR CONSTRUCTION (176026 CANADA INC.),Demolition,Cumberland,Demolish a block of 5 townhomes (due to sinking),-5.0,240000.0,-10000.0,2111567,Demolition,2022-01-07 00:00:00
3763  ,STRANDHERD DR ,K2J4B1,Ward 3,4M-,15,PREMIERE CONSTRUCTION LTD,Retail,Nepean,Tenant fit-up in a 1 storey retail building (Boomerang Kids & Rikochet Resale),0.0,73000.0,2271.19,2200002,Construction,2022-01-04 08:56:12
3767  ,STRANDHERD DR ,K2J4B1,Ward 3,4M-,15,PREMIERE CONSTRUCTION LTD,Retail,Nepean,Tenant fit-up in a 1 storey retail building (Boomerang Kids & Rikochet Resale),0.0,73000.0,2271.19,2200002,Construction,2022-01-04 08:56:12
3771  ,STRANDHERD DR ,K2J4B1,Ward 3,4M-,15,PREMIERE CONSTRUCTION LTD,Retail,Nepean,Tenant fit-up in a 1 storey retail building (Boomerang Kids & Rikochet Resale),0.0,73000.0,2271.19,2200002,Construction,2022-01-04 08:56:12
3773  ,STRANDHERD DR ,K2J4B1,Ward 3,4M-,15,PREMIERE CONSTRUCTION LTD,Retail,Nepean,Tenant fit-up in a 1 storey retail building (Boomerang Kids & Rikochet Resale),0.0,73000.0,2271.19,2200002,Construction,2022-01-04 08:56:12
3775 A ,STRANDHERD DR ,K2J4B1,Ward 3,4M-,15,PREMIERE CONSTRUCTION LTD,Retail,Nepean,Tenant fit-up in a 1 storey retail building (Boomerang Kids & Rikochet Resale),0.0,73000.0,2271.19,2200002,Construction,2022-01-04 08:56:12
3775 B ,STRANDHERD DR ,K2J4B1,Ward 3,4M-,15,PREMIERE CONSTRUCTION LTD,Retail,Nepean,Tenant fit-up in a 1 storey retail building (Boomerang Kids & Rikochet Resale),0.0,73000.0,2271.19,2200002,Construction,2022-01-04 08:56:12
3775 C ,STRANDHERD DR ,K2J4B1,Ward 3,4M-,15,PREMIERE CONSTRUCTION LTD,Retail,Nepean,Tenant fit-up in a 1 storey retail building (Boomerang Kids & Rikochet Resale),0.0,73000.0,2271.19,2200002,Construction,2022-01-04 08:56:12
3777 A ,STRANDHERD DR ,K2J4B1,Ward 3,4M-,15,PREMIERE CONSTRUCTION LTD,Retail,Nepean,Tenant fit-up in a 1 storey retail building (Boomerang Kids & Rikochet Resale),0.0,73000.0,2271.19,2200002,Construction,2022-01-04 08:56:12
3777 B ,STRANDHERD DR ,K2J4B1,Ward 3,4M-,15,PREMIERE CONSTRUCTION LTD,Retail,Nepean,Tenant fit-up in a 1 storey retail building (Boomerang Kids & Rikochet Resale),0.0,73000.0,2271.19,2200002,Construction,2022-01-04 08:56:12
3777  ,STRANDHERD DR ,K2J4B1,Ward 3,4M-,15,PREMIERE CONSTRUCTION LTD,Retail,Nepean,Tenant fit-up in a 1 storey retail building (Boomerang Kids & Rikochet Resale),0.0,73000.0,2271.19,2200002,Construction,2022-01-04 08:56:12
3777  ,STRANDHERD DR ,K2J4B1,Ward 3,4R19357,15,PREMIERE CONSTRUCTION LTD,Retail,Nepean,Tenant fit-up in a 1 storey retail building (Rogers & Fido),0.0,86500.0,4919.11,2200003,Construction,2022-01-04 08:58:22
773  ,OVATION GROVE ,K1T3W7,Ward 20,4M-1659,220,CLARIDGE HOMES (BANK ST) L.P.,Single,Gloucester,Construct a 2 Storey Single with attached garage  Model: Cumberland 2018 B,1.0,376913.0,2254.0,2200004,Construction,2022-01-04 11:02:51
545  ,TAHOE HTS ,K1T0W1,Ward 20,4M-1659,109,CLARIDGE HOMES (BANK ST) L.P.,Single,Gloucester,Construct a 2 Storey Single with attached garage  Model: Amherst 2020 D,1.0,309357.0,1850.0,2200005,Construction,2022-01-04 11:09:34
422  ,SHUTTLEWORTH DR ,K1T0V5,Ward 20,4M-1659,160,CLARIDGE HOMES (BANK ST) L.P.,Single,Gloucester,Construct a 2 Storey Single with attached garage  Model: Lockport II 2018 Contemporary,1.0,576240.0,3446.0,2200006,Construction,2022-01-04 11:22:14
750  ,OVATION GROVE ,K1T3X1,Ward 20,4M-1659,120,CLARIDGE HOMES (BANK ST) L.P.,Single,Gloucester,Construct a 2 Storey Single with attached garage  Model: Colvin 2018 B,1.0,406344.0,2430.0,2200007,Construction,2022-01-04 11:27:39
721  ,ROSALES RIDGE ,K1T0W1,Ward 20,4M-1659,116,CLARIDGE HOMES (BANK ST) L.P.,Single,Gloucester,Construct a 2 Storey Single with attached garage  Model: Lockport II 2018 Contemporary,1.0,576240.0,3446.0,2200008,Construction,2022-01-04 11:34:08
770  ,OVATION GROVE ,K1T3X1,Ward 20,4M-1659,79,CLARIDGE HOMES (BANK ST) L.P.,Single,Gloucester,Construct a 2 Storey Single with attached garage  Model: Lockport II 2018 Contemporary,1.0,576240.0,3446.0,2200009,Construction,2022-01-04 11:56:46
59  ,BIG DIPPER ST ,K4M0M3,Ward 22,4M-1672,87,CLARIDGE HOMES (RIVERS EDGE SOUTH) INC,Single,Gloucester,Construct a 2 Storey Single with attached garage  Model: Cumberland 2018 D,1.0,376913.0,2254.0,2200010,Construction,2022-01-04 12:02:19
2004  ,ALLEGRINI TERR ,K2S2S6,Ward 23,4M-1508,44,CLARIDGE HOMES (BRIDLEWOOD TRAILS) LIMITED PARTNERSHIP,Single,Goulbourn,Construct a 2 Storey Single with attached garage  Model: Murray 2018 D,1.0,388117.0,2321.0,2200011,Construction,2022-01-04 12:12:51
1530  ,MERIVALE RD ,K2G3J7,Ward 8,4M-,,CONTRACTOR UNKNOWN,Office,Nepean,Tenant fit- up on the 2nd floor of a 2 storey office building  (hair salon),0.0,50000.0,3498.27,2200012,Construction,2022-01-04 14:07:07
